title,releaseTitle,group,releaseType,Release Date,Duration (ms)
#おふしょるにっと,チョコレートメランコリー<Special Edition>,≠ME,single,2022-02-16,280693
す、好きじゃない!,す、好きじゃない! <Special Edition>,≠ME,single,2022-08-03,215453
僕たちのイマージュ,す、好きじゃない! <Special Edition>,≠ME,single,2022-08-03,264560
サマーチョコレート,す、好きじゃない! <Special Edition>,≠ME,single,2022-08-03,256333
こちらハッピー探検隊,す、好きじゃない! <Special Edition>,≠ME,single,2022-08-03,219826
はにかみショート,はにかみショート <Special Edition>,≠ME,single,2022-11-23,300266
桃色デイブレイク,はにかみショート <Special Edition>,≠ME,single,2022-11-23,250440
ピオニーズ,はにかみショート <Special Edition>,≠ME,single,2022-11-23,231533
ウルトラレアキッス,はにかみショート <Special Edition>,≠ME,single,2022-11-23,269746
天使は何処へ,天使は何処へ <Special Edition>,≠ME,single,2023-04-12,240533
このままでモーメンタリ,天使は何処へ <Special Edition>,≠ME,single,2023-04-12,234253
マシュマロフロート,天使は何処へ <Special Edition>,≠ME,single,2023-04-12,231693
2時半ろけんろー,天使は何処へ <Special Edition>,≠ME,single,2023-04-12,191853
想わせぶりっこ,想わせぶりっこ <Special Edition>,≠ME,single,2023-09-06,227306
フロアキラー,想わせぶりっこ <Special Edition>,≠ME,single,2023-09-06,222520
月下美人,想わせぶりっこ <Special Edition>,≠ME,single,2023-09-06,296146
デートの後、22時,想わせぶりっこ <Special Edition>,≠ME,single,2023-09-06,268666
アンチコンフィチュール,アンチコンフィチュール,≠ME,single,2023-12-20,253080
初恋カムバック,アンチコンフィチュール,≠ME,single,2023-12-20,230266
ヒロインとオオカミ,アンチコンフィチュール,≠ME,single,2023-12-20,257746
偶然シンフォニー,Springtime In You,≠ME,album,2024-03-20,263933
Marcato,Springtime In You,≠ME,album,2024-03-20,192106
デート前夜レクイエム,Springtime In You,≠ME,album,2024-03-20,211520
春の恋人,Springtime In You,≠ME,album,2024-03-20,256586
ラストチャンス、ラストダンス,Springtime In You,≠ME,album,2024-03-20,262600
夏が来たから,夏が来たから,≠ME,single,2024-08-28,263120
ごめん、マジで,夏が来たから,≠ME,single,2024-08-28,266546
最強のラブソング,夏が来たから,≠ME,single,2024-08-28,236972
モブノデレラ,モブノデレラ/神様の言うとーり！,≠ME,single,2025-04-30,252160
神様の言うとーり！,モブノデレラ/神様の言うとーり！,≠ME,single,2025-04-30,239453
カフェ樂園,モブノデレラ/神様の言うとーり！,≠ME,single,2025-04-30,244760
君を見かけた,君を見かけた,≠ME,single,2025-08-27,211566
排他的ファイター,排他的ファイター,≠ME,single,2025-12-10,238546
きゅんかわ人生,排他的ファイター,≠ME,single,2025-12-10,221013
はんぶんこクリスマス,排他的ファイター,≠ME,single,2025-12-10,250720
