Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Record Label,Tempo
チョコレートメランコリー,チョコレートメランコリー<Special Edition>,≠ME,2022-02-16,232720,43,KING RECORDS,141.982
君はスパークル,チョコレートメランコリー<Special Edition>,≠ME,2022-02-16,254400,42,KING RECORDS,176.996
虹が架かる瞬間,チョコレートメランコリー<Special Edition>,≠ME,2022-02-16,289546,32,KING RECORDS,145.011
#おふしょるにっと,チョコレートメランコリー<Special Edition>,≠ME,2022-02-16,280693,34,KING RECORDS,83.933
す、好きじゃない!,す、好きじゃない! <Special Edition>,≠ME,2022-08-03,215453,37,KING RECORDS,89.966
僕たちのイマージュ,す、好きじゃない! <Special Edition>,≠ME,2022-08-03,264560,32,KING RECORDS,89.983
サマーチョコレート,す、好きじゃない! <Special Edition>,≠ME,2022-08-03,256333,48,KING RECORDS,162.997
こちらハッピー探検隊,す、好きじゃない! <Special Edition>,≠ME,2022-08-03,219826,29,KING RECORDS,84.97
はにかみショート,はにかみショート <Special Edition>,≠ME,2022-11-23,300266,37,KING RECORDS,168.934
桃色デイブレイク,はにかみショート <Special Edition>,≠ME,2022-11-23,250440,35,KING RECORDS,95.447
ピオニーズ,はにかみショート <Special Edition>,≠ME,2022-11-23,231533,38,KING RECORDS,140.985
ウルトラレアキッス,はにかみショート <Special Edition>,≠ME,2022-11-23,269746,33,KING RECORDS,182.242
天使は何処へ,天使は何処へ <Special Edition>,≠ME,2023-04-12,240533,39,KING RECORDS,136.042
このままでモーメンタリ,天使は何処へ <Special Edition>,≠ME,2023-04-12,234253,34,KING RECORDS,164.02
マシュマロフロート,天使は何処へ <Special Edition>,≠ME,2023-04-12,231693,35,KING RECORDS,90.947
2時半ろけんろー,天使は何処へ <Special Edition>,≠ME,2023-04-12,191853,32,KING RECORDS,145.038
想わせぶりっこ,想わせぶりっこ <Special Edition>,≠ME,2023-09-06,227306,30,KING RECORDS,164.974
フロアキラー,想わせぶりっこ <Special Edition>,≠ME,2023-09-06,222520,27,KING RECORDS,120.013
月下美人,想わせぶりっこ <Special Edition>,≠ME,2023-09-06,296146,35,KING RECORDS,90.015
デートの後、22時,想わせぶりっこ <Special Edition>,≠ME,2023-09-06,268666,34,KING RECORDS,161.929
アンチコンフィチュール,アンチコンフィチュール,≠ME,2023-12-20,253080,30,KING RECORDS,140.02
初恋カムバック,アンチコンフィチュール,≠ME,2023-12-20,230266,38,KING RECORDS,173.975
ヒロインとオオカミ,アンチコンフィチュール,≠ME,2023-12-20,257746,38,KING RECORDS,128.019
偶然シンフォニー,Springtime In You,≠ME,2024-03-20,263933,34,KING RECORDS,175.087
Marcato,Springtime In You,≠ME,2024-03-20,192106,33,KING RECORDS,175.004
デート前夜レクイエム,Springtime In You,≠ME,2024-03-20,211520,33,KING RECORDS,107.481
春の恋人,Springtime In You,≠ME,2024-03-20,256586,30,KING RECORDS,136.98
ラストチャンス、ラストダンス,Springtime In You,≠ME,2024-03-20,262600,47,KING RECORDS,160.967
夏が来たから,夏が来たから,≠ME,2024-08-28,263120,31,KING RECORDS,166.027
ごめん、マジで,夏が来たから,≠ME,2024-08-28,266546,37,KING RECORDS,78.604
最強のラブソング,夏が来たから,≠ME,2024-08-28,236972,37,KING RECORDS,96.01
モブノデレラ,モブノデレラ/神様の言うとーり！,≠ME,2025-04-30,252160,52,KING RECORDS,127.899
神様の言うとーり！,モブノデレラ/神様の言うとーり！,≠ME,2025-04-30,239453,42,KING RECORDS,175.947
カフェ樂園,モブノデレラ/神様の言うとーり！,≠ME,2025-04-30,244760,39,KING RECORDS,121.011
君を見かけた,君を見かけた,≠ME,2025-08-27,211566,39,KING RECORDS,179.966
排他的ファイター,排他的ファイター,≠ME,2025-12-10,238546,38,KING RECORDS,138.92
きゅんかわ人生,排他的ファイター,≠ME,2025-12-10,221013,50,KING RECORDS,95.027
はんぶんこクリスマス,排他的ファイター,≠ME,2025-12-10,250720,36,KING RECORDS,131.057
