trackNumber,title,releaseTitle,group,releaseType,releaseDate,composer,arranger,duration
7,CAMEO,全部、内緒。（Type-C）,love,ALBUM,,田尻知之、本澤尚之,田尻知之、本澤尚之,4:15
8,手遅れcaution,全部、内緒。（Type-C）,love,ALBUM,,今井ひろし,倉内達矢,4:16
9,ズルいよ ズルいね,全部、内緒。（Type-C）,love,ALBUM,,長沢知亜紀、永野小織,湯浅篤,4:44
10,24/7,全部、内緒。（Type-C）,love,ALBUM,,Daisy.O、The Answer、R!N、Ryo Ito,The Answer,3:35
11,お姉さんじゃダメですか?,全部、内緒。（Type-C）,love,ALBUM,,菊池諒、RYOKO,若田部誠,3:31
12,Want you! Want you!,全部、内緒。（Type-C）,love,ALBUM,,ArmySlick、Yu-ki Kokubo、YHANAEL、YUU for YOU,ArmySlick、YUU for YOU,3:56
13,cinema,全部、内緒。（Type-C）,love,ALBUM,,YUU for YOU、Giz'Mo,YUU for YOU,4:13
14,僕らの制服クリスマス,全部、内緒。（Type-C）,love,ALBUM,,加藤大和,湯浅篤,4:28
15,=LOVE,全部、内緒。（Type-C）,love,ALBUM,,渡辺尚,古川貴浩,4:07
,内緒バナシ,内緒バナシ,love,SINGLE,2025-08-22,,,238246
,お姫様の作り方,劇薬中毒,love,SINGLE,2026-04-01,,,233413
,モラトリアム,劇薬中毒,love,SINGLE,2026-04-01,,,266626
,劇薬中毒,劇薬中毒,love,SINGLE,2026-04-01,,,276813
,君の第3ボタン,呪って呪って,love,SINGLE,2024-03-06,,,246226
,呪って呪って,呪って呪って,love,SINGLE,2024-03-06,,,203946
,誰にもバレずに,呪って呪って,love,SINGLE,2024-03-06,,,281106
,宝物はグリーン,宝物はグリーン,love,SINGLE,2023-11-29,,,276666
,手遅れcaution,手遅れcaution,love,SINGLE,2018-05-16,,,256200
,樹愛羅、助けに来たぞ,手遅れcaution,love,SINGLE,2018-05-16,,,249600
,部活中に目が合うなって思ってたんだ,手遅れcaution,love,SINGLE,2018-05-16,,,283640
,いらない ツインテール,探せ ダイヤモンドリリー,love,SINGLE,2019-04-24,,,224680
,探せ ダイヤモンドリリー,探せ ダイヤモンドリリー,love,SINGLE,2019-04-24,,,295813
,虹の素,探せ ダイヤモンドリリー,love,SINGLE,2019-04-24,,,291680
,仲直りシュークリーム,絶対アイドル辞めないで,love,SINGLE,2024-07-31,,,241693
,海とレモンティー,絶対アイドル辞めないで,love,SINGLE,2024-07-31,,,260920
,絶対アイドル辞めないで,絶対アイドル辞めないで,love,SINGLE,2024-07-31,,,233800
,しゅきぴ,"青春""サブリミナル""",love,SINGLE,2020-11-25,,,234480
,流星群,"青春""サブリミナル""",love,SINGLE,2020-11-25,,,281373
,"青春""サブリミナル""","青春""サブリミナル""",love,SINGLE,2020-11-25,,,309213
,君と僕の歌,CAMEO,me,SINGLE,2020-07-08,,,275053
1,偶然シンフォニー,Springtime In You,me,ALBUM,,斎藤竜介、菊池諒,斎藤竜介,4:23
2,秘密インシデント,Springtime In You,me,ALBUM,,宮川麿、M!SATO,宮川麿,4:29
3,す、好きじゃない!,Springtime In You,me,ALBUM,,水野谷怜,如月結愛,3:35
4,天使は何処へ,Springtime In You,me,ALBUM,,Kijibato (Dream Monster),Kijibato (Dream Monster),4:00
5,アンチコンフィチュール,Springtime In You,me,ALBUM,,長沢知亜紀、Shun Sakaguchi、no my,APAZZI,4:11
6,Marcato,Springtime In You,me,ALBUM,,Uio,Uio,3:12
7,チョコレートメランコリー,Springtime In You,me,ALBUM,,桑原佑介,APAZZI,3:51
8,デート前夜レクイエム,Springtime In You,me,ALBUM,,白戸佑輔,白戸佑輔,3:31
